file1,file2,tfidf_similarity_lemmatized,bow_similarity_lemmatized,tfidf_similarity_non_lemmatized,bow_similarity_non_lemmatized
endodonticform.json,terminationandwithdrawal.json,35.3,46.48,33.45,45.27
generalconsentinformationform.json,implantform.json,28.4,38.31,26.97,36.39
generalconsentinformationform.json,informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,91.45,93.56,89.29,92.3
generalconsentinformationform.json,informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,91.17,93.5,89.0,92.25
generalconsentinformationform.json,kvkk.json,7.09,10.86,4.97,7.95
generalconsentinformationform.json,orthodontictreatmentwithremovableapplianceconsentform.json,92.17,94.47,88.76,92.2
generalconsentinformationform.json,orthognathicform.json,90.75,93.07,88.57,91.74
generalconsentinformationform.json,orthognathicsurgeryform.json,26.87,34.46,23.33,30.27
generalconsentinformationform.json,reinforcement.json,41.14,49.24,33.76,41.6
generalconsentinformationform.json,sinuslift.json,17.92,24.78,12.97,18.17
generalconsentinformationform.json,termination.json,38.47,44.84,34.0,40.78
generalconsentinformationform.json,terminationandwithdrawal.json,32.61,38.77,31.89,38.56
implantform.json,informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,30.11,39.39,28.66,37.91
implantform.json,informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,30.56,40.07,29.47,38.72
implantform.json,kvkk.json,3.99,7.25,3.52,6.52
implantform.json,orthodontictreatmentwithremovableapplianceconsentform.json,29.71,39.67,28.38,38.24
implantform.json,orthognathicform.json,32.08,40.72,31.38,39.5
implantform.json,orthognathicsurgeryform.json,24.48,35.56,22.54,33.35
implantform.json,reinforcement.json,18.05,26.85,16.55,25.09
implantform.json,sinuslift.json,31.95,40.93,27.23,37.33
implantform.json,termination.json,16.58,23.76,16.67,24.18
implantform.json,terminationandwithdrawal.json,13.87,20.4,14.92,21.97
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,99.27,99.48,99.11,99.42
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,kvkk.json,7.92,11.98,5.68,8.93
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,orthodontictreatmentwithremovableapplianceconsentform.json,96.04,96.92,95.41,96.7
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,orthognathicform.json,98.71,99.0,98.57,98.99
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,orthognathicsurgeryform.json,29.9,37.1,26.3,32.9
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,reinforcement.json,47.25,52.87,40.84,46.12
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,sinuslift.json,18.64,25.18,14.79,20.11
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,termination.json,41.96,48.02,37.62,43.68
informedConsentFormforExtractionBasedFixedOrthodonticTreatment.json,terminationandwithdrawal.json,34.74,40.58,33.94,39.82
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,kvkk.json,8.11,12.31,5.8,9.13
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,orthodontictreatmentwithremovableapplianceconsentform.json,95.49,96.54,94.78,96.32
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,orthognathicform.json,98.28,98.77,98.04,98.68
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,orthognathicsurgeryform.json,30.15,37.52,26.54,33.3
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,reinforcement.json,46.12,52.14,39.99,45.58
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,sinuslift.json,19.01,25.66,14.95,20.32
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,termination.json,41.1,47.54,36.91,43.26
informedConsentFormforNonExtractionBasedFixedOrthodonticTreatment.json,terminationandwithdrawal.json,33.97,40.02,33.19,39.36
kvkk.json,orthodontictreatmentwithremovableapplianceconsentform.json,9.23,13.9,6.62,10.35
kvkk.json,orthognathicform.json,7.82,11.84,5.67,8.94
kvkk.json,orthognathicsurgeryform.json,8.93,15.02,7.06,12.29
kvkk.json,reinforcement.json,10.93,17.82,9.26,15.47
kvkk.json,sinuslift.json,4.14,7.68,3.02,5.69
kvkk.json,termination.json,10.72,16.66,9.33,15.11
kvkk.json,terminationandwithdrawal.json,10.82,16.66,9.51,14.99
orthodontictreatmentwithremovableapplianceconsentform.json,orthognathicform.json,95.51,96.52,94.65,96.24
orthodontictreatmentwithremovableapplianceconsentform.json,orthognathicsurgeryform.json,31.52,39.44,27.58,34.77
orthodontictreatmentwithremovableapplianceconsentform.json,reinforcement.json,49.28,55.19,43.05,48.63
orthodontictreatmentwithremovableapplianceconsentform.json,sinuslift.json,18.93,25.9,14.99,20.65
orthodontictreatmentwithremovableapplianceconsentform.json,termination.json,43.42,49.87,38.88,45.3
orthodontictreatmentwithremovableapplianceconsentform.json,terminationandwithdrawal.json,36.15,42.5,35.65,41.98
orthognathicform.json,orthognathicsurgeryform.json,36.17,40.73,31.8,36.27
orthognathicform.json,reinforcement.json,46.87,52.52,40.46,45.81
orthognathicform.json,sinuslift.json,19.53,25.42,15.47,20.24
orthognathicform.json,termination.json,42.61,48.66,38.11,44.24
orthognathicform.json,terminationandwithdrawal.json,34.88,40.72,33.83,39.78
orthognathicsurgeryform.json,reinforcement.json,23.17,34.45,21.15,32.03
orthognathicsurgeryform.json,sinuslift.json,16.28,26.02,15.16,24.56
orthognathicsurgeryform.json,termination.json,27.18,36.87,25.69,35.54
orthognathicsurgeryform.json,terminationandwithdrawal.json,25.72,35.62,25.0,35.14
reinforcement.json,sinuslift.json,15.4,24.01,14.64,22.94
reinforcement.json,termination.json,61.3,74.55,60.05,72.72
reinforcement.json,terminationandwithdrawal.json,60.52,73.86,57.76,70.84
sinuslift.json,termination.json,16.2,23.46,15.82,23.33
sinuslift.json,terminationandwithdrawal.json,15.87,23.5,15.84,23.46
termination.json,terminationandwithdrawal.json,85.79,91.07,86.16,91.49
